G,Date,Start,,,Home,Opponent,,,Tm,Opp,W,L,Streak,Notes
66,"Fri, Mar 9, 2018",8:00p ET,,,@,New Orleans Pelicans,,,,,,,,
67,"Sat, Mar 10, 2018",7:30p ET,,,@,Miami Heat,,,,,,,,
68,"Tue, Mar 13, 2018",7:00p ET,,,vs,Minnesota Timberwolves,,,,,,,,
69,"Wed, Mar 14, 2018",8:00p ET,,,@,Boston Celtics,,,,,,,,
70,"Sat, Mar 17, 2018",7:00p ET,,,vs,Indiana Pacers,,,,,,,,
71,"Wed, Mar 21, 2018",9:30p ET,,,@,San Antonio Spurs,,,,,,,,
72,"Fri, Mar 23, 2018",7:00p ET,,,vs,Denver Nuggets,,,,,,,,
73,"Sun, Mar 25, 2018",6:00p ET,,,vs,New York Knicks,,,,,,,,
74,"Tue, Mar 27, 2018",7:00p ET,,,vs,San Antonio Spurs,,,,,,,,
75,"Thu, Mar 29, 2018",7:00p ET,,,@,Detroit Pistons,,,,,,,,
76,"Sat, Mar 31, 2018",3:00p ET,,,vs,Charlotte Hornets,,,,,,,,
77,"Sun, Apr 1, 2018",3:30p ET,,,@,Chicago Bulls,,,,,,,,
78,"Tue, Apr 3, 2018",8:00p ET,,,@,Houston Rockets,,,,,,,,
79,"Thu, Apr 5, 2018",8:00p ET,,,@,Cleveland Cavaliers,,,,,,,,
80,"Fri, Apr 6, 2018",7:00p ET,,,vs,Atlanta Hawks,,,,,,,,
81,"Tue, Apr 10, 2018",8:00p ET,,,vs,Boston Celtics,,,,,,,,
82,"Wed, Apr 11, 2018",8:00p ET,,,@,Orlando Magic,,,,,,,,
,,,,,,,,,,,,,,
,"Sun, Nov 12, 2017",4:00p ET,,,@,Team Whatever,,,,,,,,
